id,commit_fk,file_path,embed_method,change_type,content,content_update_from
1,65,app/src/main/java/org/stepik/android/view/course/ui/activity/CourseActivity.kt,NILL,LOG_UPDATED,analytic.report(PurchaseNotificationClicked(courseId)),analytic.reportEvent(Analytic.Notification.PURCHASE_NOTIFICATION_CLICKED)
2,65,app/src/main/java/org/stepik/android/view/purchase_notification/receiver/PurchaseNotificationReceiver.kt,NILL,LOG_DELETED,analytic.reportEvent,
3,65,app/src/main/java/org/stepik/android/view/purchase_notification/receiver/PurchaseNotificationReceiver.kt,NILL,LOG_DELETED,(Analytic.Notification.PURCHASE_NOTIFICATION_DISMISSED),
4,86,app/src/main/java/org/stepik/android/view/course/ui/activity/CourseActivity.kt,NILL,LOG_ADDED,analytic.reportEvent,
5,86,app/src/main/java/org/stepik/android/view/course/ui/activity/CourseActivity.kt,NILL,LOG_ADDED,(Analytic.Notification.PURCHASE_NOTIFICATION_CLICKED),
6,86,app/src/main/java/org/stepik/android/view/purchase_notification/receiver/PurchaseNotificationReceiver.kt,kotlin_cannot_identify,LOG_ADDED,analytic.reportEvent(Analytic.Notification.PURCHASE_NOTIFICATION_DISMISSED),
7,147,app/src/main/java/org/stepik/android/view/lesson/ui/activity/LessonActivity.kt,NILL,LOG_DELETED,analytic.reportEvent,
8,147,app/src/main/java/org/stepik/android/view/lesson/ui/activity/LessonActivity.kt,NILL,LOG_DELETED,(Analytic.Streak.SHOWN_MATERIAL_DIALOG),
9,167,app/src/main/java/org/stepik/android/view/lesson/ui/activity/LessonActivity.kt,NILL,LOG_ADDED,analytic.reportEvent,
10,167,app/src/main/java/org/stepik/android/view/lesson/ui/activity/LessonActivity.kt,NILL,LOG_ADDED,(Analytic.Streak.SHOWN_MATERIAL_DIALOG),
11,221,app/src/main/java/org/stepic/droid/core/presenters/SplashPresenter.kt,NILL,LOG_DELETED,analytic.reportEvent,
12,221,app/src/main/java/org/stepic/droid/core/presenters/SplashPresenter.kt,NILL,LOG_DELETED,(Analytic.RemoteConfig.FETCHED_SUCCESSFUL),
13,221,app/src/main/java/org/stepic/droid/core/presenters/SplashPresenter.kt,NILL,LOG_ADDED,analytic.reportEvent,
14,221,app/src/main/java/org/stepic/droid/core/presenters/SplashPresenter.kt,NILL,LOG_ADDED,(Analytic.RemoteConfig.FETCHED_SUCCESSFUL),
15,231,app/src/main/java/org/stepic/droid/analytic/AnalyticImpl.kt,NILL,LOG_ADDED,reportEvent,
16,231,app/src/main/java/org/stepic/droid/analytic/AnalyticImpl.kt,NILL,LOG_ADDED,"(eventName, bundle)",
17,231,app/src/main/java/org/stepic/droid/analytic/AnalyticImpl.kt,NILL,LOG_ADDED,reportEvent,
18,231,app/src/main/java/org/stepic/droid/analytic/AnalyticImpl.kt,NILL,LOG_ADDED,"(eventName, bundle)",
19,423,app/src/main/java/org/stepik/android/domain/course/interactor/CourseEnrollmentInteractor.kt,NILL,LOG_ADDED,analytic.reportEvent,
20,423,app/src/main/java/org/stepik/android/domain/course/interactor/CourseEnrollmentInteractor.kt,NILL,LOG_ADDED,"(Analytic.Course.DROP_COURSE_SUCCESSFUL, courseId.toString())",
21,423,app/src/main/java/org/stepik/android/presentation/course_list/CourseListUserPresenter.kt,NILL,LOG_DELETED,analytic.reportEvent,
22,423,app/src/main/java/org/stepik/android/presentation/course_list/CourseListUserPresenter.kt,NILL,LOG_DELETED,"(Analytic.Course.DROP_COURSE_SUCCESSFUL, enrollmentCourseUpdate.id.toString())",
23,481,app/src/main/java/org/stepic/droid/analytic/AnalyticImpl.kt,NILL,LOG_ADDED,YandexMetrica.reportEvent,
24,481,app/src/main/java/org/stepic/droid/analytic/AnalyticImpl.kt,NILL,LOG_ADDED,"(analyticEvent.name, analyticEvent.params)",
25,481,app/src/main/java/org/stepic/droid/analytic/AnalyticImpl.kt,NILL,LOG_UPDATED,"reportEvent(eventName, null)","reportEvent(eventName, bundle)"
26,481,app/src/main/java/org/stepic/droid/analytic/AnalyticImpl.kt,NILL,LOG_UPDATED,"reportEvent(eventName, null)","reportEvent(eventName, bundle)"
27,524,app/src/main/java/org/stepic/droid/core/presenters/SplashPresenter.kt,NILL,LOG_DELETED,analytic.reportEvent,
28,524,app/src/main/java/org/stepic/droid/core/presenters/SplashPresenter.kt,NILL,LOG_DELETED,(Analytic.System.FIRST_LAUNCH_AFTER_INSTALL),
29,543,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_ADDED,analytic.reportEvent,
30,543,app/src/main/java/org/stepic/droid/core/ScreenManagerImpl.java,NILL,LOG_ADDED,"(Analytic.Screens.USER_OPEN_CERTIFICATES, userId + """")",
31,543,app/src/main/java/org/stepik/android/view/course_content/ui/fragment/CourseContentFragment.kt,NILL,LOG_UPDATED,analytic.reportEvent(Analytic.DownloaderV2.CLICK_SETTINGS_SECTIONS)\n                ,analytic.reportEvent(Analytic.Downloading.CLICK_SETTINGS_SECTIONS)\n                
32,676,app/src/main/java/org/stepik/android/presentation/course_continue/delegate/CourseContinuePresenterDelegateImpl.kt,NILL,LOG_ADDED,analytic.reportEvent,
33,676,app/src/main/java/org/stepik/android/presentation/course_continue/delegate/CourseContinuePresenterDelegateImpl.kt,NILL,LOG_ADDED,(Analytic.Interaction.CLICK_CONTINUE_COURSE),
34,677,app/src/main/java/org/stepik/android/view/catalog/ui/adapter/delegate/CourseListAdapterDelegate.kt,NILL,LOG_ADDED,analytic.reportEvent,
35,677,app/src/main/java/org/stepik/android/view/catalog/ui/adapter/delegate/CourseListAdapterDelegate.kt,NILL,LOG_ADDED,(Analytic.Error.COURSE_COLLECTION_EMPTY),
36,677,app/src/main/java/org/stepik/android/view/course_list/ui/fragment/CourseListPopularFragment.kt,NILL,LOG_ADDED,analytic.reportEvent,
37,677,app/src/main/java/org/stepik/android/view/course_list/ui/fragment/CourseListPopularFragment.kt,NILL,LOG_ADDED,(Analytic.Error.FEATURED_EMPTY),
38,677,app/src/main/java/org/stepik/android/view/course_list/ui/fragment/CourseListUserHorizontalFragment.kt,NILL,LOG_ADDED,analytic.reportEvent,
39,677,app/src/main/java/org/stepik/android/view/course_list/ui/fragment/CourseListUserHorizontalFragment.kt,NILL,LOG_ADDED,(Analytic.Anonymous.AUTH_CENTER),
40,682,app/src/main/java/org/stepik/android/presentation/course_continue/delegate/CourseContinuePresenterDelegateImpl.kt,NILL,LOG_DELETED,analytic.reportEvent,
41,682,app/src/main/java/org/stepik/android/presentation/course_continue/delegate/CourseContinuePresenterDelegateImpl.kt,NILL,LOG_DELETED,(Analytic.Interaction.CLICK_CONTINUE_COURSE),
42,684,app/src/main/java/org/stepik/android/presentation/course_list/CourseListSearchPresenter.kt,NILL,LOG_ADDED,analytic.reportEvent,
43,684,app/src/main/java/org/stepik/android/presentation/course_list/CourseListSearchPresenter.kt,NILL,LOG_ADDED,(Analytic.Search.SEARCH_NULL),
44,686,app/src/main/java/org/stepik/android/presentation/course_list/CourseListUserPresenter.kt,NILL,LOG_ADDED,analytic.reportEvent,
45,686,app/src/main/java/org/stepik/android/presentation/course_list/CourseListUserPresenter.kt,NILL,LOG_ADDED,"(Analytic.Course.DROP_COURSE_SUCCESSFUL, enrollmentCourseUpdate.id.toString())",
46,744,app/src/main/java/org/stepic/droid/ui/fragments/FastContinueFragment.kt,NILL,LOG_ADDED,analytic.reportEvent,
47,744,app/src/main/java/org/stepic/droid/ui/fragments/FastContinueFragment.kt,NILL,LOG_ADDED,(Analytic.FastContinue.CONTINUE_SHOWN),
48,744,app/src/main/java/org/stepik/android/view/fast_continue/ui/fragment/FastContinueFragment.kt,NILL,LOG_UPDATED,analytic.reportEvent(Analytic.FastContinue.AUTH_SHOWN)\n                ,analytic.reportEvent(Analytic.FastContinue.AUTH_SHOWN)\n        
49,744,app/src/main/java/org/stepik/android/view/fast_continue/ui/fragment/FastContinueFragment.kt,NILL,LOG_UPDATED,analytic.reportEvent(Analytic.FastContinue.AUTH_CLICK)\n                    ,analytic.reportEvent(Analytic.FastContinue.AUTH_CLICK)\n            
50,744,app/src/main/java/org/stepik/android/view/fast_continue/ui/fragment/FastContinueFragment.kt,NILL,LOG_UPDATED,analytic.reportEvent(Analytic.FastContinue.EMPTY_COURSES_SHOWN)\n                ,analytic.reportEvent(Analytic.FastContinue.EMPTY_COURSES_SHOWN)\n        
51,744,app/src/main/java/org/stepik/android/view/fast_continue/ui/fragment/FastContinueFragment.kt,NILL,LOG_UPDATED,analytic.reportEvent(Analytic.FastContinue.EMPTY_COURSES_CLICK)\n                    ,analytic.reportEvent(Analytic.FastContinue.EMPTY_COURSES_CLICK)\n            
52,746,app/src/main/java/org/stepic/droid/ui/adapters/viewhoders/CourseItemViewHolder.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Interaction.CLICK_COURSE),
53,746,app/src/main/java/org/stepic/droid/ui/adapters/viewhoders/CourseItemViewHolder.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Interaction.CLICK_CONTINUE_COURSE) ,
54,746,app/src/main/java/org/stepic/droid/ui/fragments/FastContinueFragment.kt,NILL,LOG_ADDED,analytic.reportEvent,
55,746,app/src/main/java/org/stepic/droid/ui/fragments/FastContinueFragment.kt,NILL,LOG_ADDED,(Analytic.FastContinue.CONTINUE_CLICK),
56,747,app/src/main/java/org/stepic/droid/core/presenters/SearchCoursesPresenter.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Search.SEARCH_NULL),
57,747,app/src/main/java/org/stepic/droid/ui/custom/CoursesCarouselView.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Error.FEATURED_EMPTY) ,
58,747,app/src/main/java/org/stepic/droid/ui/custom/CoursesCarouselView.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Error.COURSE_COLLECTION_EMPTY) ,
59,747,app/src/main/java/org/stepic/droid/ui/custom/CoursesCarouselView.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.CoursesCarousel.EMPTY_ENROLLED_SHOWN),
60,747,app/src/main/java/org/stepic/droid/ui/custom/CoursesCarouselView.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.CoursesCarousel.EMPTY_ENROLLED_CLICK) ,
61,747,app/src/main/java/org/stepic/droid/ui/custom/CoursesCarouselView.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.CoursesCarousel.NO_INTERNET_SHOWN) ,
62,747,app/src/main/java/org/stepic/droid/ui/custom/CoursesCarouselView.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.CoursesCarousel.NO_INTERNET_CLICK),
63,747,app/src/main/java/org/stepic/droid/ui/fragments/CatalogFragment.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Search.SEARCH_OPENED) ,
64,776,app/src/main/java/org/stepik/android/presentation/auth/CredentialAuthPresenter.kt,NILL,LOG_ADDED,analytic.reportEvent,
65,776,app/src/main/java/org/stepik/android/presentation/auth/CredentialAuthPresenter.kt,NILL,LOG_ADDED,"(Analytic.Error.CREDENTIAL_AUTH_FAILED, throwable.response()?.errorBody()?.string() ?: ""empty response"")",
66,776,app/src/main/java/org/stepik/android/presentation/auth/RegistrationPresenter.kt,NILL,LOG_ADDED,analytic.reportEvent,
67,776,app/src/main/java/org/stepik/android/presentation/auth/RegistrationPresenter.kt,NILL,LOG_ADDED,"(Analytic.Error.REGISTRATION_FAILED, throwable.response()?.errorBody()?.string() ?: ""empty response"")",
68,776,app/src/main/java/org/stepik/android/presentation/auth/SocialAuthPresenter.kt,NILL,LOG_ADDED,analytic.reportEvent,
69,776,app/src/main/java/org/stepik/android/presentation/auth/SocialAuthPresenter.kt,NILL,LOG_ADDED,"(Analytic.Error.SOCIAL_AUTH_FAILED, throwable.response()?.errorBody()?.string() ?: ""empty response"")",
70,875,app/src/main/java/org/stepik/android/view/catalog/ui/fragment/CatalogFragment.kt,NILL,LOG_ADDED,analytic.reportEvent,
71,875,app/src/main/java/org/stepik/android/view/catalog/ui/fragment/CatalogFragment.kt,NILL,LOG_ADDED,(Analytic.Search.SEARCH_OPENED),
72,997,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.kt,NILL,LOG_DELETED,analytic.reportEvent,
73,997,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.kt,NILL,LOG_DELETED,(Analytic.Streak.EARLY_DIALOG_POSITIVE),
74,997,app/src/main/java/org/stepik/android/view/lesson/ui/activity/LessonActivity.kt,NILL,LOG_DELETED,analytic.reportEvent,
244,2564,app/src/main/java/org/stepic/droid/ui/fragments/ProfileFragment.kt,NILL,LOG_DELETED,analytic.reportEvent,
245,2564,app/src/main/java/org/stepic/droid/ui/fragments/ProfileFragment.kt,NILL,LOG_DELETED,(Analytic.Streak.CHOOSE_INTERVAL_CANCELED_PROFILE),
246,2572,app/src/main/java/org/stepic/droid/core/presenters/CertificatePresenter.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Certificate.CLICK_SHARE_MAIN) ,
247,2572,app/src/main/java/org/stepic/droid/core/presenters/CertificatePresenter.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Certificate.OPEN_IN_BROWSER) ,
248,2573,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.kt,NILL,LOG_DELETED,analytic.reportEvent,
249,2573,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.kt,NILL,LOG_DELETED,(Analytic.Screens.USER_OPEN_CERTIFICATES),
250,2573,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.kt,NILL,LOG_DELETED,analytic.reportEvent,
75,997,app/src/main/java/org/stepik/android/view/lesson/ui/activity/LessonActivity.kt,NILL,LOG_DELETED,(Analytic.Streak.POSITIVE_MATERIAL_DIALOG),
76,997,app/src/main/java/org/stepik/android/view/lesson/ui/activity/LessonActivity.kt,NILL,LOG_UPDATED,"analytic.reportEvent(Analytic.Streak.SHOW_DIALOG_UNDEFINED_STREAKS, streakDays.toString())\n                ","analytic.reportEvent(Analytic.Streak.SHOW_DIALOG_UNDEFINED_STREAKS, streakDays.toString())\n            "
77,997,app/src/main/java/org/stepik/android/view/lesson/ui/activity/LessonActivity.kt,NILL,LOG_UPDATED,"analytic.reportEvent(Analytic.Streak.SHOW_DIALOG_POSITIVE_STREAKS, streakDays.toString())\n                ","analytic.reportEvent(Analytic.Streak.SHOW_DIALOG_POSITIVE_STREAKS, streakDays.toString())\n            "
78,997,app/src/main/java/org/stepik/android/view/streak/ui/dialog/StreakNotificationDialogFragment.kt,kotlin_cannot_identify,LOG_ADDED,analytic.reportEvent(positiveEvent) ,
79,1018,app/src/main/java/org/stepik/android/view/profile_courses/ui/fragment/ProfileCoursesFragment.kt,NILL,LOG_DELETED,analytic.reportEvent,
80,1018,app/src/main/java/org/stepik/android/view/profile_courses/ui/fragment/ProfileCoursesFragment.kt,NILL,LOG_DELETED,(Analytic.Interaction.CLICK_COURSE),
81,1023,app/src/main/java/org/stepik/android/view/course_list/activity/CourseListActivity.kt,NILL,LOG_DELETED,analytic.reportEvent,
82,1023,app/src/main/java/org/stepik/android/view/course_list/activity/CourseListActivity.kt,NILL,LOG_DELETED,(Analytic.Interaction.CLICK_COURSE),
83,1023,app/src/main/java/org/stepik/android/view/course_list/delegate/CourseItemViewDelegate.kt,kotlin_cannot_identify,LOG_ADDED,analytic.reportEvent(Analytic.Interaction.CLICK_COURSE),
84,1026,app/src/main/java/org/stepik/android/view/course_list/activity/CourseListActivity.kt,NILL,LOG_ADDED,analytic.reportEvent,
85,1026,app/src/main/java/org/stepik/android/view/course_list/activity/CourseListActivity.kt,NILL,LOG_ADDED,(Analytic.Interaction.CLICK_COURSE),
86,1026,app/src/main/java/org/stepik/android/view/course_list/delegate/CourseListViewDelegate.kt,NILL,LOG_DELETED,analytic.reportEvent,
87,1026,app/src/main/java/org/stepik/android/view/course_list/delegate/CourseListViewDelegate.kt,NILL,LOG_DELETED,(Analytic.Interaction.CLICK_COURSE),
88,1030,app/src/main/java/org/stepik/android/view/course_list/delegate/CourseListViewDelegate.kt,kotlin_cannot_identify,LOG_ADDED,analytic.reportEvent(Analytic.Interaction.CLICK_COURSE),
89,1078,app/src/main/java/org/stepic/droid/ui/fragments/FastContinueFragment.kt,NILL,LOG_DELETED,analytic.reportEvent,
90,1078,app/src/main/java/org/stepic/droid/ui/fragments/FastContinueFragment.kt,NILL,LOG_DELETED,(Analytic.FastContinue.CONTINUE_CLICK),
91,1081,app/src/main/java/org/stepik/android/presentation/course_continue/delegate/ContinueCoursePresenterDelegateImpl.kt,kotlin_cannot_identify,LOG_ADDED,analytic.reportEvent(Analytic.Interaction.CLICK_CONTINUE_COURSE) ,
92,1081,app/src/main/java/org/stepik/android/presentation/profile_courses/ProfileCoursesPresenter.kt,NILL,LOG_DELETED,analytic.reportEvent,
93,1081,app/src/main/java/org/stepik/android/presentation/profile_courses/ProfileCoursesPresenter.kt,NILL,LOG_DELETED,(Analytic.Interaction.CLICK_CONTINUE_COURSE),
94,1151,app/src/main/java/org/stepic/droid/core/presenters/LoginPresenter.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Interaction.SUCCESS_LOGIN) ,
95,1155,app/src/main/java/org/stepic/droid/core/presenters/LoginPresenter.kt,NILL,LOG_ADDED,analytic.reportEvent,
96,1155,app/src/main/java/org/stepic/droid/core/presenters/LoginPresenter.kt,NILL,LOG_ADDED,(Analytic.Interaction.SUCCESS_LOGIN),
97,1155,app/src/main/java/org/stepic/droid/ui/activities/SmartLockActivityBase.kt,NILL,LOG_ADDED,analytic.reportEvent,
98,1155,app/src/main/java/org/stepic/droid/ui/activities/SmartLockActivityBase.kt,NILL,LOG_ADDED,(Analytic.SmartLock.CREDENTIAL_DELETED_SUCCESSFUL),
99,1155,app/src/main/java/org/stepic/droid/ui/activities/SmartLockActivityBase.kt,NILL,LOG_UPDATED,analytic.reportEvent(Analytic.SmartLock.SHOW_SAVE_LOGIN)\n                    ,analytic.reportEvent(Analytic.SmartLock.SHOW_SAVE_LOGIN)\n                        
100,1155,app/src/main/java/org/stepik/android/view/auth/ui/activity/LaunchActivity.kt,NILL,LOG_DELETED,analytic.reportEvent,
101,1155,app/src/main/java/org/stepik/android/view/auth/ui/activity/LaunchActivity.kt,NILL,LOG_DELETED,(Analytic.SmartLock.CREDENTIAL_DELETED_SUCCESSFUL),
102,1320,app/src/main/java/org/stepic/droid/ui/fragments/FastContinueFragment.kt,NILL,LOG_ADDED,analytic.reportEvent,
103,1320,app/src/main/java/org/stepic/droid/ui/fragments/FastContinueFragment.kt,NILL,LOG_ADDED,(Analytic.FastContinue.CONTINUE_CLICK),
104,1405,app/src/main/java/org/stepic/droid/ui/fragments/FastContinueFragment.kt,NILL,LOG_DELETED,analytic.reportEvent,
105,1405,app/src/main/java/org/stepic/droid/ui/fragments/FastContinueFragment.kt,NILL,LOG_DELETED,(Analytic.FastContinue.CONTINUE_CLICK),
106,1485,app/src/main/java/org/stepic/droid/core/StepikDevicePosterImpl.kt,NILL,LOG_ADDED,analytic.reportEvent,
107,1485,app/src/main/java/org/stepic/droid/core/StepikDevicePosterImpl.kt,NILL,LOG_ADDED,(Analytic.Notification.TOKEN_UPDATE_FAILED),
108,1512,app/src/main/java/org/stepik/android/presentation/profile/ProfilePresenter.kt,NILL,LOG_UPDATED,analytic.reportEvent(Analytic.Profile.OPEN_SCREEN_OVERALL)\n        ,analytic.reportEvent(Analytic.Profile.OPEN_SCREEN_OVERALL)
109,1515,app/src/main/java/org/stepic/droid/core/presenters/ProfilePresenterImpl.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Profile.SHOW_LOCAL) ,
110,1515,app/src/main/java/org/stepic/droid/ui/fragments/ProfileFragment.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Profile.CLICK_IMAGE),
111,1515,app/src/main/java/org/stepic/droid/ui/fragments/ProfileFragment.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Profile.CLICK_STREAK_VALUE),
112,1515,app/src/main/java/org/stepic/droid/ui/fragments/ProfileFragment.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Profile.CLICK_FULL_NAME),
113,1515,app/src/main/java/org/stepic/droid/ui/fragments/ProfileFragment.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Interaction.CLICK_CHOOSE_NOTIFICATION_INTERVAL) ,
114,1515,app/src/main/java/org/stepic/droid/util/ProfileSettingsHelper.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Screens.USER_OPEN_SETTINGS) ,
251,2573,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.kt,NILL,LOG_DELETED,(Analytic.Screens.USER_OPEN_CERTIFICATES),
252,2625,app/src/main/java/org/stepic/droid/ui/activities/MainFeedActivity.kt,NILL,LOG_ADDED,analytic.reportEvent,
115,1515,app/src/main/java/org/stepic/droid/util/ProfileSettingsHelper.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Screens.USER_OPEN_DOWNLOADS) ,
116,1515,app/src/main/java/org/stepic/droid/util/ProfileSettingsHelper.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Screens.USER_OPEN_FEEDBACK) ,
117,1515,app/src/main/java/org/stepic/droid/util/ProfileSettingsHelper.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Screens.USER_OPEN_ABOUT_APP) ,
118,1515,app/src/main/java/org/stepic/droid/util/ProfileSettingsHelper.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Screens.USER_LOGOUT) ,
119,1516,app/src/main/java/org/stepik/android/presentation/profile/ProfilePresenter.kt,NILL,LOG_ADDED,analytic.reportEvent,
120,1516,app/src/main/java/org/stepik/android/presentation/profile/ProfilePresenter.kt,NILL,LOG_ADDED,(Analytic.Profile.OPEN_SCREEN_OVERALL),
121,1516,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragmentOld.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Profile.CLICK_IMAGE),
122,1516,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragmentOld.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Profile.CLICK_STREAK_VALUE),
123,1516,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragmentOld.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Profile.CLICK_FULL_NAME),
124,1516,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragmentOld.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Screens.USER_OPEN_SETTINGS) ,
125,1516,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragmentOld.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Screens.USER_OPEN_DOWNLOADS) ,
126,1516,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragmentOld.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Screens.USER_OPEN_FEEDBACK) ,
127,1516,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragmentOld.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Screens.USER_OPEN_ABOUT_APP) ,
128,1559,app/src/main/java/org/stepik/android/presentation/profile_courses/ProfileCoursesPresenter.kt,NILL,LOG_ADDED,analytic.reportEvent,
129,1559,app/src/main/java/org/stepik/android/presentation/profile_courses/ProfileCoursesPresenter.kt,NILL,LOG_ADDED,(Analytic.Interaction.CLICK_CONTINUE_COURSE),
130,1559,app/src/main/java/org/stepik/android/view/profile_courses/ui/fragment/ProfileCoursesFragment.kt,NILL,LOG_ADDED,analytic.reportEvent,
131,1559,app/src/main/java/org/stepik/android/view/profile_courses/ui/fragment/ProfileCoursesFragment.kt,NILL,LOG_ADDED,(Analytic.Interaction.CLICK_COURSE),
132,1637,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragment.kt,NILL,LOG_ADDED,analytic.reportEvent,
133,1637,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragment.kt,NILL,LOG_ADDED,(Analytic.Screens.USER_OPEN_SETTINGS),
134,1687,app/src/main/java/org/stepic/droid/ui/fragments/SettingsFragment.kt,NILL,LOG_ADDED,analytic.reportEvent,
135,1687,app/src/main/java/org/stepic/droid/ui/fragments/SettingsFragment.kt,NILL,LOG_ADDED,(Analytic.Screens.USER_OPEN_FEEDBACK),
136,1687,app/src/main/java/org/stepic/droid/ui/fragments/SettingsFragment.kt,NILL,LOG_ADDED,analytic.reportEvent,
137,1687,app/src/main/java/org/stepic/droid/ui/fragments/SettingsFragment.kt,NILL,LOG_ADDED,(Analytic.Screens.USER_OPEN_ABOUT_APP),
138,1687,app/src/main/java/org/stepic/droid/ui/fragments/SettingsFragment.kt,NILL,LOG_ADDED,analytic.reportEvent,
139,1687,app/src/main/java/org/stepic/droid/ui/fragments/SettingsFragment.kt,NILL,LOG_ADDED,(Analytic.Screens.USER_OPEN_DOWNLOADS),
140,1698,app/src/main/java/org/stepic/droid/ui/activities/ProfileActivity.kt,kotlin_cannot_identify,LOG_DELETED,analytic.reportEvent(Analytic.Shortcut.OPEN_PROFILE),
141,1715,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragment.kt,NILL,LOG_DELETED,analytic.reportEvent,
142,1715,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragment.kt,NILL,LOG_DELETED,(Analytic.Screens.USER_OPEN_ABOUT_APP),
143,1715,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragment.kt,NILL,LOG_DELETED,analytic.reportEvent,
144,1715,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragment.kt,NILL,LOG_DELETED,(Analytic.Profile.CLICK_IMAGE),
145,1715,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragment.kt,NILL,LOG_DELETED,analytic.reportEvent,
146,1715,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragment.kt,NILL,LOG_DELETED,(Analytic.Screens.USER_OPEN_FEEDBACK),
147,1715,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragment.kt,NILL,LOG_DELETED,analytic.reportEvent,
148,1715,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragment.kt,NILL,LOG_DELETED,(Analytic.Screens.USER_OPEN_DOWNLOADS),
149,1715,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragment.kt,NILL,LOG_DELETED,analytic.reportEvent,
150,1715,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragment.kt,NILL,LOG_DELETED,(Analytic.Profile.CLICK_STREAK_VALUE),
151,1715,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragment.kt,NILL,LOG_DELETED,analytic.reportEvent,
152,1715,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragment.kt,NILL,LOG_DELETED,(Analytic.Screens.USER_OPEN_SETTINGS),
153,1715,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragment.kt,NILL,LOG_DELETED,analytic.reportEvent,
154,1715,app/src/main/java/org/stepik/android/view/profile/ui/fragment/ProfileFragment.kt,NILL,LOG_DELETED,(Analytic.Profile.CLICK_FULL_NAME),
